country,date,sector,mtco2
China,19/12/2020,Power,16.3421202
China,20/12/2020,Power,16.5994764
China,21/12/2020,Power,15.4413734
China,22/12/2020,Power,16.2440031
China,23/12/2020,Power,16.4148748
China,24/12/2020,Power,16.5199276
China,25/12/2020,Power,16.5026204
China,26/12/2020,Power,16.392858
China,27/12/2020,Power,16.6242084
China,28/12/2020,Power,16.6493135
China,29/12/2020,Power,16.4976406
China,30/12/2020,Power,16.660161
China,31/12/2020,Power,16.5603583
India,01/01/2019,Power,3.34981075
India,02/01/2019,Power,3.39298769
India,03/01/2019,Power,3.42656975
India,04/01/2019,Power,3.46494925
India,05/01/2019,Power,3.43736399
India,06/01/2019,Power,3.26705496
India,07/01/2019,Power,3.36060499
India,08/01/2019,Power,3.48174029
India,09/01/2019,Power,3.47214541
India,10/01/2019,Power,3.48293964
India,11/01/2019,Power,3.52971466
India,12/01/2019,Power,3.50812619
India,13/01/2019,Power,3.33182036
India,14/01/2019,Power,3.24066905
India,15/01/2019,Power,3.32102613
India,16/01/2019,Power,3.40258257
India,17/01/2019,Power,3.4193736
India,18/01/2019,Power,3.47934157
India,19/01/2019,Power,3.46974669
India,20/01/2019,Power,3.34741203
India,21/01/2019,Power,3.29943766
India,22/01/2019,Power,3.29104214
India,23/01/2019,Power,3.43136719
India,24/01/2019,Power,3.36660178
India,25/01/2019,Power,3.31263061
India,26/01/2019,Power,3.08835041
India,27/01/2019,Power,3.07995489
India,28/01/2019,Power,3.24786521
India,29/01/2019,Power,3.32222549
India,30/01/2019,Power,3.40018385
India,31/01/2019,Power,3.37859538
India,01/02/2019,Power,3.30903253
India,02/02/2019,Power,3.29943766
India,03/02/2019,Power,3.19869147
India,04/02/2019,Power,3.27664983
India,05/02/2019,Power,3.43736399
India,06/02/2019,Power,3.42297168
India,07/02/2019,Power,3.28744407
India,08/02/2019,Power,3.3426146
India,09/02/2019,Power,3.34381396
India,10/02/2019,Power,3.27305175
India,11/02/2019,Power,3.2982383
India,12/02/2019,Power,3.3426146
India,13/02/2019,Power,3.41697488
India,14/02/2019,Power,3.41697488
India,15/02/2019,Power,3.36420307
India,16/02/2019,Power,3.33301972
